Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugyy26bqYr2QUYBq8ap4AaABAg,,@haticeabcd,,Abi İnci 12. sınıf değil miydi nasıl kazandı okulu biz İncinin eğitim hayatının bir parçası olarak merak ediyoruz,18,5 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugx4MvDETKv4Wqt65At4AaABAg,,@mustafadag4293,,"Şu ortamın verdiği samimiyeti, kimse veremez...İyi ki varsınız! 🫂",10,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugzun9FWpluRXvkfRTR4AaABAg,,@busrademirok866,,Atakan ve emrenin yemeğe katkısı benim kendi evimden olan katkım kadar teşekkür ederim cemile,9,6 gün önce (düzenlendi),Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugx6gezWKjwI9mh7UDp4AaABAg,,@ParkMocii,,Açık mutfak İnci’siz eksik kalıyor…,16,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgwrHjuXV3CdGGXy6rF4AaABAg,,@nislideno,,Cemileyi izleyince sanki inciyi izliyorum aynı minyonluk yaa,14,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugw-oczSfBvIYOaS3WF4AaABAg,,@hayatnicindenbilgiler5306,,İnci yok ya 😢,49,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyC0rvjVXtQnPNWXr94AaABAg,,@selvii1,,47:12 öbür aya görüşürüüzzz🎉🎉,27,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugxr5YdZhxb532k-FBp4AaABAg,,@Birisi-15meh,,"✨Hiçbirşey israf olmuyor babam yiyor✨
Bizdede aynı😂",36,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugy4a0_Ag4TrfmmZU4N4AaABAg,,@whatever9755,,"İnanılmaz eğlenceli bir bölümdü. Cemilenin durması bile komik, Atakanın her yerinden yeteneke akıyor ve feci eğlenceli.Arkadaşlarım olun istedim izlerken. Emre harikasın bu arada",3,4 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgweHLsl2GuG9iM8FrR4AaABAg,,@mustafadag4293,,özleşmedik mii🫂💗,43,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzsYQ5uQr6AgI8sdzZ4AaABAg,,@btu.l,,Arabaşı arabaşı olalı böyle muamele görmedi mdmdjdmdm,15,5 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgwFuTuU4Ctb7eSdqCN4AaABAg,,@semanurekinci8192,,Atakanın gülmesi şakalarından daha komik (şakaları da çok güzel ama),12,6 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgyJi3N84p5o3pYOJ1N4AaABAg,,@NazanAydın-b2w,,Atakan abi girişte bi burulay beklerdik,5,5 gün önce,Hayır
https://www.youtube.com/watch?v=VAO5geOPUwI,UgzIFjAM0-FNvY3TGmR4AaABAg.AWBpZ87D9bsAWDNzwZhUp7,UgyJi3N84p5o3pYOJ1N4AaABAg,@xirader6573,@NazanAydın-b2w,80-90lilar öyle hitap eder. Teyze demez knki. Eski nesil terimleri.,4,6 gün önce,Evet
https://www.youtube.com/watch?v=VAO5geOPUwI,Ugyy26bqYr2QUYBq8ap4AaABAg.AWGMkK0jDwDAWRPAtwj4Ur,UgyJi3N84p5o3pYOJ1N4AaABAg,@DnzLalin,@NazanAydın-b2w,Evet ben de ona takıldım daha yks olmadı bir şey olmadı,1,17 saat önce,Evet
