Video Kaynağı,Yorum ID,Üst Yorum ID,Yorum Yapan Kişi,Yanıtlanan Kişi,Yorum Metni,Beğeni Sayısı,Tarih,Yanıt Mı?
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAFtkIg2mpE2,UgwpIewk5MUD-kiZuTB4AaABAg,@Jisoo_Soyaa_Jicuu,@ezoskilyrics_3004,Çok tatlısın ablaaaa❤❤❤❤❤❤❤❤❤❤❤❤,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAFubQrx_v7P,UgwpIewk5MUD-kiZuTB4AaABAg,@Tecnoxxx21,@ezoskilyrics_3004,SKSKSKSKSSK ANIRDIM,1,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAIZGkzQ3kv5,UgwpIewk5MUD-kiZuTB4AaABAg,@Lucias_Ikoss,@ezoskilyrics_3004,Tuğba abla bende Gaziantep'liyimm❤❤,1,11 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAEKBVmBsYkZ,UgwpIewk5MUD-kiZuTB4AaABAg,@bebegimtugcen,@ezoskilyrics_3004,Yaa yerim❤,18,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAH_SeJotcvC,UgwpIewk5MUD-kiZuTB4AaABAg,@Hatceyalcin0930,@ezoskilyrics_3004,Alt yapidayken yilmaz hocaya muz sesi aciyomus muz yiyorum dedigini hâlâ unutmadim 🙂 🙏🏽,0,1 yıl önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAIVqsCAjqSL,UgwpIewk5MUD-kiZuTB4AaABAg,@kamranhacioglu7092,@ezoskilyrics_3004,Abla seni çok seviyorum bu arada haklısın,0,11 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAKdV7zDuZFq,UgwpIewk5MUD-kiZuTB4AaABAg,@starriestarzz,@ezoskilyrics_3004,abla eger sosisler senden iskence goruyoda sonraki videoda arabalarin icindeki sinegin yedigi kisinin en sevdigi renk yani pembe giy 🥺💔,0,9 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BANYPm7MZpdV,UgwpIewk5MUD-kiZuTB4AaABAg,@Sumeyra-e3j,@ezoskilyrics_3004,Hırır 🩰💅 abla zaten üzgünüm ya Bali dersine gideceğim bale dersinden edersin en çok korkuyorum bak böyle bana Havlu küçüklüğümden beri sizi izliyorum biliyor musun Ben de diyorum ki Keşke orada olsaydım da oynayabilir miyim keşke,0,7 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAOBISa06eJh,UgwpIewk5MUD-kiZuTB4AaABAg,@gzd88,@ezoskilyrics_3004,Tuğba ablaaaaa merhabaaa fanınımmm tanışalım mı kalp at nolurrrrrr❤❤❤❤❤😊😊😊😊❤❤❤❤🎉🎉🎉,0,6 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgyJ0kV7TGCEACL_PDF4AaABAg.AEK0UkOds6BAUSbGLu410r,UgwpIewk5MUD-kiZuTB4AaABAg,@nedegilefendim,@ezoskilyrics_3004,Tuğba şans eseri yaşıyor gibi :D çok tatlı ya,0,1 ay önce,Evet
https://www.youtube.com/watch?v=0vf80JFe4tU,UgxvqvoUsfM4vj9LFeZ4AaABAg.AU5euQ2uszfAUAzy5c7lWS,UgwpIewk5MUD-kiZuTB4AaABAg,@isikhizli6264,@ezoskilyrics_3004,Bende 😂😂😂 tuğba kadar doğal komik en son kemal sunalı görmüştüm,22,1 ay önce,Evet
